variable,fecha,fecha_str,pronostico,limite_inferior_95,limite_superior_95,fecha_generacion,horizonte_pronostico
PM 10,2026-02-03 00:00:00,2026-02-03 00:00:00,9.812125889456125,9.812107033315767,9.812144745596482,2026-02-04 19:00:14,72 horas
PM 10,2026-02-03 01:00:00,2026-02-03 01:00:00,10.836304872652915,10.836286016512558,10.836323728793273,2026-02-04 19:00:14,72 horas
PM 10,2026-02-03 02:00:00,2026-02-03 02:00:00,11.49702171883682,11.497002862696462,11.497040574977177,2026-02-04 19:00:14,72 horas
PM 10,2026-02-03 03:00:00,2026-02-03 03:00:00,11.35714168164709,11.357122825506732,11.357160537787447,2026-02-04 19:00:14,72 horas
PM 10,2026-02-03 04:00:00,2026-02-03 04:00:00,11.841268725732926,11.841249869592568,11.841287581873283,2026-02-04 19:00:14,72 horas
PM 10,2026-02-03 05:00:00,2026-02-03 05:00:00,12.595236864570111,12.595218008429754,12.595255720710469,2026-02-04 19:00:14,72 horas
PM 10,2026-02-03 06:00:00,2026-02-03 06:00:00,13.809523696156237,13.80950484001588,13.809542552296595,2026-02-04 19:00:14,72 horas
PM 10,2026-02-03 07:00:00,2026-02-03 07:00:00,16.452382005943598,16.45236314980324,16.452400862083955,2026-02-04 19:00:14,72 horas
PM 10,2026-02-03 08:00:00,2026-02-03 08:00:00,19.04762048058517,19.047601624444813,19.047639336725528,2026-02-04 19:00:14,72 horas
PM 10,2026-02-03 09:00:00,2026-02-03 09:00:00,17.339152559253122,17.339133703112765,17.33917141539348,2026-02-04 19:00:14,72 horas
PM 10,2026-02-03 10:00:00,2026-02-03 10:00:00,15.72685026743505,15.726831411294693,15.726869123575408,2026-02-04 19:00:14,72 horas
PM 10,2026-02-03 11:00:00,2026-02-03 11:00:00,18.881285469229454,18.88125011440055,18.881320824058356,2026-02-04 19:00:14,72 horas
PM 10,2026-02-03 12:00:00,2026-02-03 12:00:00,22.411908761444145,22.411880428442576,22.411937094445715,2026-02-04 19:00:14,72 horas
PM 10,2026-02-03 13:00:00,2026-02-03 13:00:00,25.488893540048835,25.488865207047265,25.488921873050405,2026-02-04 19:00:14,72 horas
PM 10,2026-02-03 14:00:00,2026-02-03 14:00:00,18.083335424021822,18.083307091020252,18.083363757023392,2026-02-04 19:00:14,72 horas
PM 10,2026-02-03 15:00:00,2026-02-03 15:00:00,15.060318635814074,15.060290302812504,15.060346968815644,2026-02-04 19:00:14,72 horas
PM 10,2026-02-03 16:00:00,2026-02-03 16:00:00,15.355556671093272,15.355528338091702,15.355585004094841,2026-02-04 19:00:14,72 horas
PM 10,2026-02-03 17:00:00,2026-02-03 17:00:00,16.472223452891093,16.472195119889523,16.472251785892663,2026-02-04 19:00:14,72 horas
PM 10,2026-02-03 18:00:00,2026-02-03 18:00:00,14.166666780034321,14.166638447032751,14.16669511303589,2026-02-04 19:00:14,72 horas
PM 10,2026-02-03 19:00:00,2026-02-03 19:00:00,13.133332279769933,13.133303946768363,13.133360612771503,2026-02-04 19:00:14,72 horas
PM 10,2026-02-03 20:00:00,2026-02-03 20:00:00,14.533331900366186,14.533303567364616,14.533360233367755,2026-02-04 19:00:14,72 horas
PM 10,2026-02-03 21:00:00,2026-02-03 21:00:00,20.11111199101206,20.11108365801049,20.11114032401363,2026-02-04 19:00:14,72 horas
PM 10,2026-02-03 22:00:00,2026-02-03 22:00:00,20.718255552671906,20.718227219670336,20.718283885673475,2026-02-04 19:00:14,72 horas
PM 10,2026-02-03 23:00:00,2026-02-03 23:00:00,11.319133402021023,11.319114545880666,11.319152258161381,2026-02-04 19:00:14,72 horas
PM 10,2026-02-04 00:00:00,2026-02-04 00:00:00,9.812121889915478,9.812095223301817,9.812148556529138,2026-02-04 19:00:14,72 horas
PM 10,2026-02-04 01:00:00,2026-02-04 01:00:00,10.836300221491499,10.836273554877838,10.836326888105159,2026-02-04 19:00:14,72 horas
PM 10,2026-02-04 02:00:00,2026-02-04 02:00:00,11.497019628147667,11.496992961534007,11.497046294761327,2026-02-04 19:00:14,72 horas
PM 10,2026-02-04 03:00:00,2026-02-04 03:00:00,11.357140506150106,11.357113839536446,11.357167172763766,2026-02-04 19:00:14,72 horas
PM 10,2026-02-04 04:00:00,2026-02-04 04:00:00,11.841267610194853,11.841240943581193,11.841294276808513,2026-02-04 19:00:14,72 horas
PM 10,2026-02-04 05:00:00,2026-02-04 05:00:00,12.59523563390085,12.59520896728719,12.595262300514511,2026-02-04 19:00:14,72 horas
PM 10,2026-02-04 06:00:00,2026-02-04 06:00:00,13.809523582788547,13.809496916174886,13.809550249402207,2026-02-04 19:00:14,72 horas
PM 10,2026-02-04 07:00:00,2026-02-04 07:00:00,16.452383059507333,16.452356392893673,16.452409726120994,2026-02-04 19:00:14,72 horas
PM 10,2026-02-04 08:00:00,2026-02-04 08:00:00,19.047621913552774,19.047595246939114,19.047648580166435,2026-02-04 19:00:14,72 horas
PM 10,2026-02-04 09:00:00,2026-02-04 09:00:00,17.339151679351893,17.339125012738233,17.339178345965554,2026-02-04 19:00:14,72 horas
PM 10,2026-02-04 10:00:00,2026-02-04 10:00:00,15.726848683016609,15.726822016402949,15.72687534963027,2026-02-04 19:00:14,72 horas
PM 10,2026-02-04 11:00:00,2026-02-04 11:00:00,18.881287869678324,18.88124780075334,18.88132793860331,2026-02-04 19:00:14,72 horas
PM 10,2026-02-04 12:00:00,2026-02-04 12:00:00,22.411912760986063,22.411878726980763,22.411946794991362,2026-02-04 19:00:14,72 horas
PM 10,2026-02-04 13:00:00,2026-02-04 13:00:00,25.48889819121173,25.488864157206432,25.48893222521703,2026-02-04 19:00:14,72 horas
PM 10,2026-02-04 14:00:00,2026-02-04 14:00:00,18.083337514711637,18.083303480706338,18.083371548716936,2026-02-04 19:00:14,72 horas
PM 10,2026-02-04 15:00:00,2026-02-04 15:00:00,15.06031981131143,15.06028577730613,15.060353845316731,2026-02-04 19:00:14,72 horas
PM 10,2026-02-04 16:00:00,2026-02-04 16:00:00,15.355557786631696,15.355523752626395,15.355591820636997,2026-02-04 19:00:14,72 horas
PM 10,2026-02-04 17:00:00,2026-02-04 17:00:00,16.472224683560743,16.472190649555444,16.472258717566042,2026-02-04 19:00:14,72 horas
PM 10,2026-02-04 18:00:00,2026-02-04 18:00:00,14.166666893402047,14.166632859396746,14.166700927407348,2026-02-04 19:00:14,72 horas
PM 10,2026-02-04 19:00:00,2026-02-04 19:00:00,13.133331226205865,13.133297192200564,13.133365260211166,2026-02-04 19:00:14,72 horas
PM 10,2026-02-04 20:00:00,2026-02-04 20:00:00,14.533330467398127,14.533296433392826,14.533364501403428,2026-02-04 19:00:14,72 horas
PM 10,2026-02-04 21:00:00,2026-02-04 21:00:00,20.111112870913566,20.111078836908266,20.111146904918865,2026-02-04 19:00:14,72 horas
PM 10,2026-02-04 22:00:00,2026-02-04 22:00:00,20.71825713709085,20.71822310308555,20.718291171096148,2026-02-04 19:00:14,72 horas
PM 10,2026-02-04 23:00:00,2026-02-04 23:00:00,11.319131001571389,11.319104334957728,11.31915766818505,2026-02-04 19:00:14,72 horas
PM 10,2026-02-05 00:00:00,2026-02-05 00:00:00,9.81211789037229,9.812085230568789,9.812150550175792,2026-02-04 19:00:14,72 horas
PM 10,2026-02-05 01:00:00,2026-02-05 01:00:00,10.83629557032713,10.836262910523628,10.836328230130631,2026-02-04 19:00:14,72 horas
PM 10,2026-02-05 02:00:00,2026-02-05 02:00:00,11.497017537457184,11.496984877653682,11.497050197260686,2026-02-04 19:00:14,72 horas
PM 10,2026-02-05 03:00:00,2026-02-05 03:00:00,11.357139330652377,11.357106670848875,11.357171990455878,2026-02-04 19:00:14,72 horas
PM 10,2026-02-05 04:00:00,2026-02-05 04:00:00,11.841266494656072,11.84123383485257,11.841299154459573,2026-02-04 19:00:14,72 horas
PM 10,2026-02-05 05:00:00,2026-02-05 05:00:00,12.59523440323081,12.595201743427308,12.595267063034312,2026-02-04 19:00:14,72 horas
PM 10,2026-02-05 06:00:00,2026-02-05 06:00:00,13.809523469420785,13.809490809617284,13.809556129224287,2026-02-04 19:00:14,72 horas
PM 10,2026-02-05 07:00:00,2026-02-05 07:00:00,16.452384113071737,16.452351453268236,16.45241677287524,2026-02-04 19:00:14,72 horas
PM 10,2026-02-05 08:00:00,2026-02-05 08:00:00,19.047623346521288,19.047590686717786,19.04765600632479,2026-02-04 19:00:14,72 horas
