variable,fecha,fecha_str,pronostico,limite_inferior_95,limite_superior_95,fecha_generacion,horizonte_pronostico
PM 10,2026-02-04 01:00:00,2026-02-04 01:00:00,10.987914398558251,6.957701903045004,15.018126894071498,2026-02-04 17:17:28,72 horas
PM 10,2026-02-04 02:00:00,2026-02-04 02:00:00,11.325774886854637,6.605401882635906,16.046147891073367,2026-02-04 17:17:28,72 horas
PM 10,2026-02-04 03:00:00,2026-02-04 03:00:00,11.233092964181658,6.315451880013329,16.15073404834999,2026-02-04 17:17:28,72 horas
PM 10,2026-02-04 04:00:00,2026-02-04 04:00:00,11.970266501534583,6.9921398827376295,16.948393120331538,2026-02-04 17:17:28,72 horas
PM 10,2026-02-04 05:00:00,2026-02-04 05:00:00,12.944816289819874,7.9477996122399555,17.941832967399794,2026-02-04 17:17:28,72 horas
PM 10,2026-02-04 06:00:00,2026-02-04 06:00:00,13.737030907223243,8.734082888698701,18.739978925747785,2026-02-04 17:17:28,72 horas
PM 10,2026-02-04 07:00:00,2026-02-04 07:00:00,15.904039750997443,10.899228432208226,20.90885106978666,2026-02-04 17:17:28,72 horas
PM 10,2026-02-04 08:00:00,2026-02-04 08:00:00,18.327291596500867,13.321901852782274,23.33268134021946,2026-02-04 17:17:28,72 horas
PM 10,2026-02-04 09:00:00,2026-02-04 09:00:00,17.66275708210155,12.657210757405487,22.668303406797612,2026-02-04 17:17:28,72 horas
PM 10,2026-02-04 10:00:00,2026-02-04 10:00:00,16.548883157815403,11.543357670350103,21.554408645280702,2026-02-04 17:17:28,72 horas
PM 10,2026-02-04 11:00:00,2026-02-04 11:00:00,20.018476624451566,15.012998431369452,25.023954817533678,2026-02-04 17:17:28,72 horas
PM 10,2026-02-04 12:00:00,2026-02-04 12:00:00,21.741031899713484,16.73555017212509,26.746513627301876,2026-02-04 17:17:28,72 horas
PM 10,2026-02-04 13:00:00,2026-02-04 13:00:00,23.25939112078825,17.507474838405116,29.011307403171386,2026-02-04 17:17:28,72 horas
PM 10,2026-02-04 14:00:00,2026-02-04 14:00:00,17.231564561852405,11.225666525873361,23.23746259783145,2026-02-04 17:17:28,72 horas
PM 10,2026-02-04 15:00:00,2026-02-04 15:00:00,14.572078427537141,8.488416884771738,20.655739970302545,2026-02-04 17:17:28,72 horas
PM 10,2026-02-04 16:00:00,2026-02-04 16:00:00,14.723216101049458,8.615278244193945,20.83115395790497,2026-02-04 17:17:28,72 horas
PM 10,2026-02-04 17:00:00,2026-02-04 17:00:00,15.646093646980685,9.530533172291623,21.761654121669746,2026-02-04 17:17:28,72 horas
PM 10,2026-02-04 18:00:00,2026-02-04 18:00:00,14.15176286736489,8.03380468847983,20.269721046249952,2026-02-04 17:17:28,72 horas
PM 10,2026-02-04 19:00:00,2026-02-04 19:00:00,13.996942339373437,7.8782296918883175,20.115654986858555,2026-02-04 17:17:28,72 horas
PM 10,2026-02-04 20:00:00,2026-02-04 20:00:00,15.666232892682096,9.547283295957158,21.785182489407035,2026-02-04 17:17:28,72 horas
PM 10,2026-02-04 21:00:00,2026-02-04 21:00:00,19.421599619550236,13.302577177956842,25.54062206114363,2026-02-04 17:17:28,72 horas
PM 10,2026-02-04 22:00:00,2026-02-04 22:00:00,19.52198307562972,13.402942510429972,25.641023640829467,2026-02-04 17:17:28,72 horas
PM 10,2026-02-04 23:00:00,2026-02-04 23:00:00,11.74883414141566,5.629790665934264,17.867877616897054,2026-02-04 17:17:28,72 horas
PM 10,2026-02-05 00:00:00,2026-02-05 00:00:00,12.148393661292065,6.0293479032891435,18.267439419294988,2026-02-04 17:17:28,72 horas
PM 10,2026-02-05 01:00:00,2026-02-05 01:00:00,14.542685612781693,8.092929701483008,20.992441524080377,2026-02-04 17:17:28,72 horas
PM 10,2026-02-05 02:00:00,2026-02-05 02:00:00,13.036702521441958,6.4681999942205906,19.605205048663326,2026-02-04 17:17:28,72 horas
PM 10,2026-02-05 03:00:00,2026-02-05 03:00:00,12.200403953585566,5.594959860359753,18.805848046811377,2026-02-04 17:17:28,72 horas
PM 10,2026-02-05 04:00:00,2026-02-05 04:00:00,12.767642750937322,6.150611571504168,19.384673930370475,2026-02-04 17:17:28,72 horas
PM 10,2026-02-05 05:00:00,2026-02-05 05:00:00,13.727083721126332,7.1064090544984095,20.347758387754254,2026-02-04 17:17:28,72 horas
PM 10,2026-02-05 06:00:00,2026-02-05 06:00:00,13.857211249760432,7.235390348287202,20.47903215123366,2026-02-04 17:17:28,72 horas
PM 10,2026-02-05 07:00:00,2026-02-05 07:00:00,15.351954136441991,8.729773627900359,21.97413464498362,2026-02-04 17:17:28,72 horas
PM 10,2026-02-05 08:00:00,2026-02-05 08:00:00,17.556891841828232,10.934601955865922,24.179181727790542,2026-02-04 17:17:28,72 horas
PM 10,2026-02-05 09:00:00,2026-02-05 09:00:00,18.171998375825964,11.54968621832152,24.79431053333041,2026-02-04 17:17:28,72 horas
PM 10,2026-02-05 10:00:00,2026-02-05 10:00:00,17.409669624567048,10.787383899960336,24.03195534917376,2026-02-04 17:17:28,72 horas
PM 10,2026-02-05 11:00:00,2026-02-05 11:00:00,17.624244492321836,11.00198651641394,24.246502468229732,2026-02-04 17:17:28,72 horas
PM 10,2026-02-05 12:00:00,2026-02-05 12:00:00,18.963761648396193,12.341503546493982,25.586019750298405,2026-02-04 17:17:28,72 horas
PM 10,2026-02-05 13:00:00,2026-02-05 13:00:00,20.73572063680739,13.962287632367534,27.509153641247245,2026-02-04 17:17:28,72 horas
PM 10,2026-02-05 14:00:00,2026-02-05 14:00:00,16.017063486023936,9.188262624723604,22.845864347324266,2026-02-04 17:17:28,72 horas
PM 10,2026-02-05 15:00:00,2026-02-05 15:00:00,13.885428618502416,7.039289731284613,20.73156750572022,2026-02-04 17:17:28,72 horas
PM 10,2026-02-05 16:00:00,2026-02-05 16:00:00,14.157036193470192,7.305448104371998,21.008624282568388,2026-02-04 17:17:28,72 horas
PM 10,2026-02-05 17:00:00,2026-02-05 17:00:00,15.090499486703408,8.237196831482692,21.943802141924124,2026-02-04 17:17:28,72 horas
PM 10,2026-02-05 18:00:00,2026-02-05 18:00:00,14.066483989029244,7.212641759499853,20.920326218558635,2026-02-04 17:17:28,72 horas
PM 10,2026-02-05 19:00:00,2026-02-05 19:00:00,14.389247242920078,7.535235505730255,21.2432589801099,2026-02-04 17:17:28,72 horas
PM 10,2026-02-05 20:00:00,2026-02-05 20:00:00,16.213619057495244,9.359555070279981,23.067683044710506,2026-02-04 17:17:28,72 horas
PM 10,2026-02-05 21:00:00,2026-02-05 21:00:00,19.059813398304843,12.20573649708449,25.913890299525196,2026-02-04 17:17:28,72 horas
PM 10,2026-02-05 22:00:00,2026-02-05 22:00:00,18.91042324304426,12.05635199761275,25.76449448847577,2026-02-04 17:17:28,72 horas
PM 10,2026-02-05 23:00:00,2026-02-05 23:00:00,13.449890886272083,6.595827070091689,20.30395470245248,2026-02-04 17:17:28,72 horas
PM 10,2026-02-06 00:00:00,2026-02-06 00:00:00,14.121588207788772,7.267524066709458,20.975652348868085,2026-02-04 17:17:28,72 horas
PM 10,2026-02-06 01:00:00,2026-02-06 01:00:00,16.335701477973906,9.403695056043865,23.267707899903947,2026-02-04 17:17:28,72 horas
PM 10,2026-02-06 02:00:00,2026-02-06 02:00:00,13.899580653676317,6.938810169533707,20.860351137818927,2026-02-04 17:17:28,72 horas
PM 10,2026-02-06 03:00:00,2026-02-06 03:00:00,12.688254570640996,5.718453267705543,19.65805587357645,2026-02-04 17:17:28,72 horas
PM 10,2026-02-06 04:00:00,2026-02-06 04:00:00,13.169901817009803,6.197259912893023,20.142543721126582,2026-02-04 17:17:28,72 horas
PM 10,2026-02-06 05:00:00,2026-02-06 05:00:00,14.121821694944874,7.1482858484456715,21.095357541444077,2026-02-04 17:17:28,72 horas
PM 10,2026-02-06 06:00:00,2026-02-06 06:00:00,13.917800175941368,6.9439831977585404,20.891617154124194,2026-02-04 17:17:28,72 horas
PM 10,2026-02-06 07:00:00,2026-02-06 07:00:00,15.073229936624232,8.099325320784168,22.047134552464296,2026-02-04 17:17:28,72 horas
PM 10,2026-02-06 08:00:00,2026-02-06 08:00:00,17.16798569135287,10.194056233239905,24.141915149465838,2026-02-04 17:17:28,72 horas
PM 10,2026-02-06 09:00:00,2026-02-06 09:00:00,18.429039780078124,11.455111227938367,25.40296833221788,2026-02-04 17:17:28,72 horas
PM 10,2026-02-06 10:00:00,2026-02-06 10:00:00,17.84416983885147,10.870265569831332,24.81807410787161,2026-02-04 17:17:28,72 horas
PM 10,2026-02-06 11:00:00,2026-02-06 11:00:00,16.4156799991589,9.441797315596794,23.389562682721007,2026-02-04 17:17:28,72 horas
PM 10,2026-02-06 12:00:00,2026-02-06 12:00:00,17.561849054890086,10.587966768431377,24.535731341348793,2026-02-04 17:17:28,72 horas
PM 10,2026-02-06 13:00:00,2026-02-06 13:00:00,19.461821148054604,12.451782701061568,26.47185959504764,2026-02-04 17:17:28,72 horas
PM 10,2026-02-06 14:00:00,2026-02-06 14:00:00,15.404006996905158,8.38057039015826,22.42744360365206,2026-02-04 17:17:28,72 horas
PM 10,2026-02-06 15:00:00,2026-02-06 15:00:00,13.538821171474218,6.511171897103936,20.5664704458445,2026-02-04 17:17:28,72 horas
PM 10,2026-02-06 16:00:00,2026-02-06 16:00:00,13.871239715748276,6.84226476213334,20.900214669363212,2026-02-04 17:17:28,72 horas
PM 10,2026-02-06 17:00:00,2026-02-06 17:00:00,14.81004658430844,7.7806543832997725,21.839438785317107,2026-02-04 17:17:28,72 horas
PM 10,2026-02-06 18:00:00,2026-02-06 18:00:00,14.023436850678031,6.993913445541048,21.052960255815016,2026-02-04 17:17:28,72 horas
