variable,orden,orden_estacional,aic,bic,hqic,log_likelihood,num_observaciones,ecuacion,fecha_ultimo_dato,valor_ultimo_dato,fecha_generacion
Temperature,"(1, 0, 0)","(1, 1, 1, 12)",-2204.1646357204554,-2192.0955163731956,-2199.2615323471327,1106.0823178602277,176,Δ^d Δ_s^D y_t = 0.0109·y_t-1 + -1.0000·y_t-12 + 0.0001·ε_t-12 + ε_t,2026-02-02 23:00:00,31.07601851851852,2026-02-04 19:00:14
Humidity,"(1, 0, 0)","(1, 1, 1, 12)",-2520.4584687010997,-2508.38934935384,-2515.555365327777,1264.2292343505499,176,Δ^d Δ_s^D y_t = 0.0016·y_t-1 + -1.0000·y_t-12 + -0.0006·ε_t-12 + ε_t,2026-02-02 23:00:00,63.97135802469137,2026-02-04 19:00:14
PM 2.5,"(1, 0, 1)","(1, 1, 0, 12)",-2068.4986213280395,-2056.4295019807796,-2063.595517954717,1038.2493106640197,176,Δ^d Δ_s^D y_t = 0.3003·y_t-1 + -0.4780·ε_t-1 + -1.0000·y_t-12 + ε_t,2026-02-02 23:00:00,10.467283950617285,2026-02-04 19:00:14
PM 10,"(0, 0, 0)","(1, 1, 1, 12)",-3197.349891033712,-3188.2980515232675,-3193.67256350372,1601.674945516856,176,Δ^d Δ_s^D y_t =  + -1.0000·y_t-12 + -0.0000·ε_t-12 + ε_t,2026-02-02 23:00:00,11.319135802469136,2026-02-04 19:00:14
