variable,orden,orden_estacional,aic,bic,hqic,log_likelihood,num_observaciones,ecuacion,fecha_ultimo_dato,valor_ultimo_dato,fecha_generacion
Temperature,"(1, 0, 1)","(1, 1, 1, 12)",-2166.798276836579,-2138.7539236906227,-2156.5051292894855,1088.3991384182896,2042,Δ^d Δ_s^D y_t = 0.6485·y_t-1 + 0.1689·ε_t-1 + -0.9926·y_t-12 + -0.0145·ε_t-12 + ε_t,2026-02-02 23:00:00,31.07601851851852,2026-02-04 18:35:05
Humidity,"(1, 0, 1)","(1, 1, 1, 12)",3269.6530419179126,3297.697395063869,3279.9461894650062,-1629.8265209589563,2042,Δ^d Δ_s^D y_t = 0.8030·y_t-1 + 0.1770·ε_t-1 + -0.9198·y_t-12 + -0.3828·ε_t-12 + ε_t,2026-02-02 23:00:00,63.97135802469137,2026-02-04 18:35:05
PM 2.5,"(1, 1, 1)","(1, 1, 1, 12)",7821.037449073274,7849.079321445178,7831.329944524923,-3905.518724536637,2042,Δ^d Δ_s^D y_t = 0.5845·y_t-1 + -0.9380·ε_t-1 + -0.7481·y_t-12 + -1.0000·ε_t-12 + ε_t,2026-02-02 23:00:00,10.467283950617285,2026-02-04 18:35:05
PM 10,"(1, 0, 1)","(1, 1, 1, 12)",8593.168317943782,8621.21267108974,8603.461465490876,-4291.584158971891,2042,Δ^d Δ_s^D y_t = 0.5601·y_t-1 + 0.0533·ε_t-1 + -0.7183·y_t-12 + -1.0000·ε_t-12 + ε_t,2026-02-02 23:00:00,11.319135802469136,2026-02-04 18:35:05
